date,S&P500,NASDAQ100
2018-07-03,10038,
2018-07-04,9936,
2018-07-05,9942,
2018-07-06,10057,
2018-07-09,10121,
2018-07-10,10265,
2018-07-11,10288,
2018-07-12,10330,
2018-07-13,10475,
2018-07-17,10445,
2018-07-18,10541,
2018-07-19,10540,
2018-07-20,10486,
2018-07-23,10322,
2018-07-24,10371,
2018-07-25,10423,
2018-07-26,10462,
2018-07-27,10469,
2018-07-30,10398,
2018-07-31,10330,
2018-08-01,10458,
2018-08-02,10437,
2018-08-03,10497,
2018-08-06,10493,
2018-08-07,10539,
2018-08-08,10581,
2018-08-09,10526,
2018-08-10,10515,
2018-08-13,10409,
2018-08-14,10388,
2018-08-15,10514,
2018-08-16,10361,
2018-08-17,10473,
2018-08-20,10477,
2018-08-21,10439,
2018-08-22,10490,
2018-08-23,10540,
2018-08-24,10592,
2018-08-27,10627,
2018-08-28,10712,
2018-08-29,10715,
2018-08-30,10828,
2018-08-31,10714,
2018-09-03,10709,
2018-09-04,10718,
2018-09-05,10743,
2018-09-06,10688,
2018-09-07,10580,
2018-09-10,10598,
2018-09-11,10668,
2018-09-12,10720,
2018-09-13,10710,
2018-09-14,10834,
2018-09-18,10751,
2018-09-19,10855,
2018-09-20,10876,
2018-09-21,10984,
2018-09-25,10981,
2018-09-26,10959,
2018-09-27,10919,
2018-09-28,11016,
2018-10-01,11051,
2018-10-02,11097,
2018-10-03,11056,
2018-10-04,11143,
2018-10-05,11026,
2018-10-09,10849,
2018-10-10,10845,
2018-10-11,10420,
2018-10-12,10195,
2018-10-15,10324,
2018-10-16,10250,
2018-10-17,10520,
2018-10-18,10545,
2018-10-19,10362,
2018-10-22,10369,
2018-10-23,10351,
2018-10-24,10267,
2018-10-25,9911,
2018-10-26,10133,
2018-10-29,9916,
2018-10-30,9898,
2018-10-31,10121,
2018-11-01,10188,
2018-11-02,10303,
2018-11-05,10272,
2018-11-06,10330,
2018-11-07,10387,
2018-11-08,10652,
2018-11-09,10667,
2018-11-12,10561,
2018-11-13,10328,
2018-11-14,10339,
2018-11-15,10238,
2018-11-16,10349,
2018-11-19,10288,
2018-11-20,10112,
2018-11-21,9949,
2018-11-22,9996,
2018-11-26,9927,
2018-11-27,10124,
2018-11-28,10182,
