date,TOPIX,NASDAQ100,S&P500
2017-02-27,9896,,
2017-02-28,9905,,
2017-03-01,10020,,
2017-03-02,10094,,
2017-03-03,10052,,
2017-03-06,10031,,
2017-03-07,10032,,
2017-03-08,10001,,
2017-03-09,10029,,
2017-03-10,10154,,
2017-03-13,10176,,
2017-03-14,10160,,
2017-03-15,10136,,
2017-03-16,10145,,
2017-03-17,10101,,
2017-03-21,10085,,
2017-03-22,9871,,
2017-03-23,9872,,
2017-03-24,9960,,
2017-03-27,9833,,
2017-03-28,9965,,
2017-03-29,10036,,
2017-03-30,9942,,
2017-03-31,9844,,
2017-04-03,9875,,
2017-04-04,9792,,
2017-04-05,9793,,
2017-04-06,9634,,
2017-04-07,9697,,
2017-04-10,9760,,
2017-04-11,9730,,
2017-04-12,9629,,
2017-04-13,9556,,
2017-04-14,9496,,
2017-04-17,9539,,
2017-04-18,9577,,
2017-04-19,9576,,
2017-04-20,9586,,
2017-04-21,9688,,
2017-04-24,9784,,
2017-04-25,9888,,
2017-04-26,10006,,
2017-04-27,10002,,
2017-04-28,9970,,
2017-05-01,10023,,
2017-05-02,10092,,
2017-05-08,10323,,
2017-05-09,10297,,
2017-05-10,10320,,
2017-05-11,10332,,
2017-05-12,10293,,
2017-05-15,10290,,
2017-05-16,10317,,
2017-05-17,10262,,
2017-05-18,10126,,
2017-05-19,10157,,
2017-05-22,10209,,
2017-05-23,10194,,
2017-05-24,10258,,
2017-05-25,10279,,
2017-05-26,10221,,
2017-05-29,10226,,
2017-05-30,10242,,
2017-05-31,10214,,
2017-06-01,10329,,
2017-06-02,10499,,
2017-06-05,10484,,
2017-06-06,10396,,
2017-06-07,10400,,
2017-06-08,10357,,
2017-06-09,10365,,
2017-06-12,10364,,
2017-06-13,10377,,
2017-06-14,10366,,
2017-06-15,10341,,
2017-06-16,10393,,
2017-06-19,10458,,
2017-06-20,10531,,
2017-06-21,10494,,
2017-06-22,10486,,
2017-06-23,10492,,
2017-06-26,10498,,
2017-06-27,10542,,
2017-06-28,10524,,
2017-06-29,10587,,
2017-06-30,10507,,
2017-07-03,10524,,
2017-07-04,10492,,
2017-07-05,10551,,
2017-07-06,10531,,
2017-07-07,10475,,
2017-07-10,10530,,
2017-07-11,10606,,
2017-07-12,10555,,
2017-07-13,10553,,
2017-07-14,10595,,
2017-07-18,10563,,
2017-07-19,10571,,
2017-07-20,10644,,
2017-07-21,10624,,
2017-07-24,10569,,
2017-07-25,10540,,
2017-07-26,10565,,
2017-07-27,10604,,
2017-07-28,10568,,
2017-07-31,10549,,
2017-08-01,10614,,
2017-08-02,10652,,
2017-08-03,10648,,
2017-08-04,10632,,
2017-08-07,10684,,
2017-08-08,10658,,
2017-08-09,10544,,
2017-08-10,10540,,
2017-08-14,10421,,
2017-08-15,10533,,
2017-08-16,10531,,
2017-08-17,10524,,
2017-08-18,10410,,
2017-08-21,10396,,
2017-08-22,10402,,
2017-08-23,10428,,
2017-08-24,10376,,
2017-08-25,10407,,
2017-08-28,10427,,
2017-08-29,10415,,
2017-08-30,10479,,
2017-08-31,10543,,
2017-09-01,10557,,
2017-09-04,10452,,
2017-09-05,10369,,
2017-09-06,10377,,
2017-09-07,10417,,
2017-09-08,10387,,
2017-09-11,10509,,
2017-09-12,10608,,
2017-09-13,10672,,
2017-09-14,10638,,
2017-09-15,10683,,
2017-09-19,10871,,
2017-09-20,10871,,
2017-09-21,10876,,
2017-09-22,10850,,
2017-09-25,10903,,
2017-09-26,10903,,
2017-09-27,10933,,
2017-09-28,11009,,
2017-09-29,10999,,
2017-10-02,10992,,
2017-10-03,11063,,
2017-10-04,11063,,
2017-10-05,11050,,
2017-10-06,11081,,
2017-10-10,11132,,
2017-10-11,11143,,
2017-10-12,11165,,
2017-10-13,11221,,
2017-10-16,11290,,
2017-10-17,11317,,
2017-10-18,11325,,
2017-10-19,11362,,
2017-10-20,11365,,
2017-10-23,11461,,
2017-10-24,11537,,
2017-10-25,11502,,
2017-10-26,11518,,
2017-10-27,11631,,
2017-10-30,11629,,
2017-10-31,11597,,
2017-11-01,11734,,
2017-11-02,11782,,
2017-11-06,11773,,
2017-11-07,11909,,
2017-11-08,11937,,
2017-11-09,11908,,
