ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç êÊêiçëç¬åîÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2017/02/27,9972,9972,,0.01
2017/02/28,9997,9997,,0.01
2017/03/01,10049,10049,,0.03
2017/03/02,10060,10060,,0.04
2017/03/03,10054,10054,,0.05
2017/03/06,10055,10055,,0.07
2017/03/07,10050,10050,,0.07
2017/03/08,10035,10035,,0.14
2017/03/09,10043,10043,,0.23
2017/03/10,10094,10094,,0.23
2017/03/13,10086,10086,,0.25
2017/03/14,10081,10081,,0.26
2017/03/15,10070,10070,,0.48
2017/03/16,10039,10039,,0.49
2017/03/17,10052,10052,,0.50
2017/03/21,9980,9980,,0.54
2017/03/22,9946,9946,,0.55
2017/03/23,9953,9953,,0.58
2017/03/24,9923,9923,,0.60
2017/03/27,9894,9894,,0.76
2017/03/28,9938,9938,,0.78
2017/03/29,9933,9933,,0.81
2017/03/30,9954,9954,,0.85
2017/03/31,9997,9997,,0.88
2017/04/03,9919,9919,,0.90
2017/04/04,9872,9872,,0.91
2017/04/05,9897,9897,,0.96
2017/04/06,9873,9873,,0.96
2017/04/07,9897,9897,,0.98
2017/04/10,9915,9915,,0.98
2017/04/11,9868,9868,,0.97
2017/04/12,9783,9783,,1.00
2017/04/13,9751,9751,,1.00
2017/04/14,9778,9778,,1.01
2017/04/17,9700,9700,,1.01
2017/04/18,9788,9788,,1.02
2017/04/19,9801,9801,,1.03
2017/04/20,9824,9824,,1.07
2017/04/21,9839,9839,,1.08
2017/04/24,9949,9949,,1.12
2017/04/25,9945,9945,,1.18
2017/04/26,10074,10074,,1.25
2017/04/27,10057,10057,,1.20
2017/04/28,10056,10056,,1.20
2017/05/01,10094,10094,,1.21
2017/05/02,10122,10122,,1.24
2017/05/08,10210,10210,,1.25
2017/05/09,10223,10223,,1.37
2017/05/10,10247,10247,,1.39
2017/05/11,10283,10283,,1.42
2017/05/12,10244,10244,,1.45
2017/05/15,10257,10257,,1.62
2017/05/16,10303,10303,,1.65
2017/05/17,10251,10251,,1.62
2017/05/18,10184,10184,,1.70
2017/05/19,10195,10195,,1.73
2017/05/22,10243,10243,,1.76
2017/05/23,10224,10224,,1.81
2017/05/24,10257,10257,,1.88
2017/05/25,10267,10267,,1.92
2017/05/26,10278,10278,,1.94
2017/05/29,10233,10233,,2.00
2017/05/30,10198,10198,,2.06
2017/05/31,10206,10206,,2.06
2017/06/01,10236,10236,,2.12
2017/06/02,10278,10278,,2.16
2017/06/05,10214,10214,,2.17
2017/06/06,10179,10179,,2.19
2017/06/07,10146,10146,,2.20
2017/06/08,10171,10171,,2.22
2017/06/09,10141,10141,,2.23
2017/06/12,10174,10174,,2.26
2017/06/13,10158,10158,,2.32
2017/06/14,10172,10172,,2.37
2017/06/15,10183,10183,,2.39
2017/06/16,10254,10254,,2.43
2017/06/19,10272,10272,,2.47
2017/06/20,10315,10315,,2.50
2017/06/21,10285,10285,,2.51
2017/06/22,10280,10280,,2.58
2017/06/23,10303,10303,,2.56
2017/06/26,10319,10319,,2.63
2017/06/27,10381,10381,,2.66
2017/06/28,10411,10411,,2.72
2017/06/29,10456,10456,,2.74
2017/06/30,10397,10397,,2.76
2017/07/03,10398,10398,,2.79
2017/07/04,10454,10454,,2.89
2017/07/05,10438,10438,,2.95
2017/07/06,10425,10425,,2.95
2017/07/07,10432,10432,,2.99
2017/07/10,10499,10499,,3.03
2017/07/11,10520,10520,,3.05
2017/07/12,10501,10501,,3.17
2017/07/13,10476,10476,,3.19
