ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç çëì‡ÉäÅ[ÉgÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2019/10/31,10026,10026,,0.01
2019/11/01,10069,10069,,0.30
2019/11/05,10080,10080,,0.48
2019/11/06,9956,9956,,0.78
2019/11/07,9971,9971,,0.89
2019/11/08,9714,9714,,0.95
2019/11/11,9683,9683,,1.02
2019/11/12,9493,9493,,1.20
2019/11/13,9409,9409,,1.28
2019/11/14,9468,9468,,1.33
2019/11/15,9585,9585,,1.47
2019/11/18,9663,9663,,1.60
2019/11/19,9776,9776,,2.09
2019/11/20,9954,9954,,2.40
2019/11/21,9948,9948,,2.73
2019/11/22,9875,9875,,2.83
2019/11/25,9858,9858,,2.74
2019/11/26,9921,9921,,2.88
2019/11/27,9982,9982,,2.93
2019/11/28,9974,9974,,3.01
2019/11/29,9934,9934,,3.09
2019/12/02,9887,9887,,3.16
2019/12/03,9801,9801,,3.31
2019/12/04,9775,9775,,3.39
2019/12/05,9760,9760,,3.47
2019/12/06,9771,9771,,3.49
2019/12/09,9740,9740,,3.52
2019/12/10,9734,9734,,3.75
2019/12/11,9662,9662,,3.77
2019/12/12,9656,9656,,3.87
2019/12/13,9519,9519,,3.86
2019/12/16,9449,9449,,3.91
2019/12/17,9449,9449,,3.99
2019/12/18,9435,9435,,4.03
2019/12/19,9487,9487,,4.28
2019/12/20,9441,9441,,4.37
2019/12/23,9477,9477,,4.46
2019/12/24,9516,9516,,4.65
2019/12/25,9590,9590,,4.83
2019/12/26,9666,9666,,5.05
2019/12/27,9656,9656,,5.08
2019/12/30,9642,9642,,5.22
2020/01/06,9667,9667,,5.35
2020/01/07,9627,9627,,5.35
2020/01/08,9519,9519,,5.34
2020/01/09,9571,9571,,5.27
2020/01/10,9586,9586,,5.35
2020/01/14,9601,9601,,5.40
2020/01/15,9572,9572,,5.71
2020/01/16,9637,9637,,5.83
2020/01/17,9696,9696,,5.86
2020/01/20,9750,9750,,5.99
2020/01/21,9721,9721,,6.07
2020/01/22,9803,9803,,6.26
2020/01/23,9821,9821,,6.33
2020/01/24,9860,9860,,6.42
2020/01/27,9822,9822,,6.44
2020/01/28,9836,9836,,6.51
2020/01/29,9876,9876,,6.54
2020/01/30,9920,9920,,7.20
