ÇÖÇlÇ`ÇwÇhÇr ÇrÇåÇâÇç ëSê¢äEäîéÆÅièúÇ≠ì˙ñ{Åj
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2018/03/19,9973,9973,,0.10
2018/03/20,9887,9887,,0.10
2018/03/22,9870,9870,,0.10
2018/03/23,9600,9600,,0.11
2018/03/26,9444,9444,,0.18
2018/03/27,9654,9654,,0.37
2018/03/28,9570,9570,,0.54
2018/03/29,9643,9643,,0.62
2018/03/30,9680,9680,,0.75
2018/04/02,9694,9694,,0.83
2018/04/03,9517,9517,,0.82
2018/04/04,9636,9636,,0.83
2018/04/05,9704,9704,,1.14
2018/04/06,9836,9836,,1.55
2018/04/09,9676,9676,,1.52
2018/04/10,9702,9702,,1.75
2018/04/11,9874,9874,,2.24
2018/04/12,9819,9819,,2.25
2018/04/13,9914,9914,,2.40
2018/04/16,9903,9903,,2.50
2018/04/17,9907,9907,,2.69
2018/04/18,9993,9993,,2.98
2018/04/19,10052,10052,,3.11
2018/04/20,10015,10015,,3.24
2018/04/23,9972,9972,,3.31
2018/04/24,10037,10037,,3.59
2018/04/25,9979,9979,,3.75
2018/04/26,9997,9997,,3.91
2018/04/27,10062,10062,,4.04
2018/05/01,10057,10057,,4.13
2018/05/02,10096,10096,,4.19
2018/05/07,10015,10015,,4.15
2018/05/08,10046,10046,,4.43
2018/05/09,10074,10074,,4.45
2018/05/10,10208,10208,,5.14
2018/05/11,10257,10257,,5.14
2018/05/14,10273,10273,,5.35
2018/05/15,10323,10323,,5.69
2018/05/16,10296,10296,,6.07
2018/05/17,10331,10331,,6.33
2018/05/18,10382,10382,,6.43
2018/05/21,10358,10358,,6.61
2018/05/22,10417,10417,,6.70
2018/05/23,10396,10396,,7.51
2018/05/24,10250,10250,,7.41
2018/05/25,10218,10218,,7.61
2018/05/28,10193,10193,,7.67
2018/05/29,10147,10147,,7.75
2018/05/30,9941,9941,,7.59
2018/05/31,10062,10062,,8.17
2018/06/01,10046,10046,,8.51
2018/06/04,10208,10208,,9.04
2018/06/05,10293,10293,,9.53
2018/06/06,10284,10284,,9.64
2018/06/07,10391,10391,,9.84
2018/06/08,10358,10358,,9.86
2018/06/11,10311,10311,,9.87
2018/06/12,10419,10419,,10.18
2018/06/13,10439,10439,,10.55
2018/06/14,10401,10401,,10.65
2018/06/15,10416,10416,,10.76
2018/06/18,10373,10373,,10.89
2018/06/19,10302,10302,,11.13
2018/06/20,10213,10213,,11.04
2018/06/21,10278,10278,,11.72
2018/06/22,10176,10176,,11.81
2018/06/25,10196,10196,,11.96
2018/06/26,10042,10042,,11.85
2018/06/27,10072,10072,,12.09
2018/06/28,10010,10010,,12.18
2018/06/29,10078,10078,,12.38
2018/07/02,10180,10180,,12.64
2018/07/03,10164,10164,,12.79
2018/07/04,10110,10110,,12.73
2018/07/05,10110,10110,,13.04
2018/07/06,10206,10206,,13.16
2018/07/09,10271,10271,,13.51
2018/07/10,10416,10416,,13.75
2018/07/11,10424,10424,,13.89
2018/07/12,10433,10433,,14.03
2018/07/13,10577,10577,,14.67
2018/07/17,10551,10551,,14.64
2018/07/18,10619,10619,,14.83
2018/07/19,10623,10623,,15.09
2018/07/20,10567,10567,,15.11
2018/07/23,10441,10441,,15.17
2018/07/24,10457,10457,,15.34
2018/07/25,10526,10526,,15.69
2018/07/26,10545,10545,,15.92
2018/07/27,10557,10557,,16.06
2018/07/30,10533,10533,,16.12
2018/07/31,10487,10487,,16.24
2018/08/01,10600,10600,,16.57
2018/08/02,10564,10564,,16.77
2018/08/03,10542,10542,,16.92
2018/08/06,10534,10534,,17.03
2018/08/07,10559,10559,,17.15
2018/08/08,10619,10619,,17.47
2018/08/09,10564,10564,,16.72
2018/08/10,10549,10549,,16.85
2018/08/13,10390,10390,,16.70
2018/08/14,10357,10357,,16.89
2018/08/15,10447,10447,,17.50
2018/08/16,10266,10266,,17.56
