ÇÖÇlÇ`ÇwÇhÇr ÇmÇ`ÇrÇcÇ`ÇpÇPÇOÇOÉCÉìÉfÉbÉNÉX
äÓèÄì˙,äÓèÄâøäz(â~),äÓèÄâøäzÅiï™îzã‡çƒìäéëÅj(â~),ï™îzã‡Åiê≈à¯ëOÅj(â~),èÉéëéYëçäzÅiâ≠â~Åj
2021/01/29,10000,10000,,3.00
2021/02/01,9998,9998,,3.00
2021/02/02,10261,10261,,4.67
2021/02/03,10431,10431,,7.32
2021/02/04,10389,10389,,8.49
2021/02/05,10563,10563,,10.77
2021/02/08,10597,10597,,12.66
2021/02/09,10631,10631,,13.89
2021/02/10,10569,10569,,17.42
2021/02/12,10618,10618,,18.77
2021/02/15,10712,10712,,20.34
2021/02/16,10750,10750,,22.89
2021/02/17,10792,10792,,22.98
2021/02/18,10693,10693,,27.48
2021/02/19,10643,10643,,29.33
2021/02/22,10577,10577,,30.61
2021/02/24,10269,10269,,30.72
2021/02/25,10416,10416,,33.70
2021/02/26,10064,10064,,33.69
2021/03/01,10150,10150,,35.58
2021/03/02,10478,10478,,37.60
2021/03/03,10293,10293,,38.81
2021/03/04,10018,10018,,39.66
2021/03/05,9929,9929,,40.15
2021/03/08,10136,10136,,41.83
2021/03/09,9909,9909,,42.02
2021/03/10,10255,10255,,45.08
2021/03/11,10216,10216,,45.63
2021/03/12,10465,10465,,48.13
2021/03/15,10417,10417,,49.22
2021/03/16,10552,10552,,51.02
2021/03/17,10598,10598,,52.68
2021/03/18,10621,10621,,53.50
2021/03/19,10302,10302,,52.97
2021/03/22,10346,10346,,54.60
2021/03/23,10517,10517,,56.44
2021/03/24,10441,10441,,56.79
2021/03/25,10288,10288,,56.68
2021/03/26,10314,10314,,57.33
2021/03/29,10503,10503,,59.33
2021/03/30,10514,10514,,60.03
2021/03/31,10539,10539,,61.66
2021/04/01,10712,10712,,62.77
2021/04/02,10887,10887,,64.34
2021/04/05,10885,10885,,65.59
2021/04/06,11071,11071,,66.71
2021/04/07,11009,11009,,67.91
2021/04/08,11041,11041,,69.20
2021/04/09,11102,11102,,70.91
2021/04/12,11216,11216,,72.28
2021/04/13,11178,11178,,72.78
2021/04/14,11238,11238,,74.94
2021/04/15,11098,11098,,75.19
2021/04/16,11255,11255,,77.82
2021/04/19,11262,11262,,78.68
2021/04/20,11107,11107,,78.58
2021/04/21,11016,11016,,79.48
2021/04/22,11113,11113,,81.23
2021/04/23,10964,10964,,81.29
2021/04/26,11101,11101,,82.80
2021/04/27,11196,11196,,84.12
2021/04/28,11223,11223,,85.29
2021/04/30,11230,11230,,86.64
2021/05/06,10896,10896,,84.79
2021/05/07,10968,10968,,87.06
2021/05/10,11016,11016,,90.49
2021/05/11,10749,10749,,89.22
2021/05/12,10722,10722,,90.49
2021/05/13,10522,10522,,89.33
2021/05/14,10608,10608,,90.53
2021/05/17,10821,10821,,92.75
2021/05/18,10734,10734,,92.67
2021/05/19,10636,10636,,92.93
2021/05/20,10679,10679,,93.57
2021/05/21,10850,10850,,95.59
2021/05/24,10791,10791,,95.08
2021/05/25,10962,10962,,98.22
2021/05/26,10965,10965,,98.70
2021/05/27,11043,11043,,99.95
2021/05/28,11090,11090,,100.74
2021/05/31,11090,11090,,101.02
2021/06/01,11055,11055,,100.99
2021/06/02,11053,11053,,100.97
2021/06/03,11065,11065,,102.40
2021/06/04,11017,11017,,101.45
2021/06/07,11140,11140,,102.33
2021/06/08,11153,11153,,102.60
2021/06/09,11160,11160,,102.38
2021/06/10,11183,11183,,102.56
2021/06/11,11281,11281,,103.66
2021/06/14,11347,11347,,101.44
2021/06/15,11485,11485,,103.05
2021/06/16,11410,11410,,105.18
2021/06/17,11437,11437,,106.55
2021/06/18,11536,11536,,110.12
2021/06/21,11434,11434,,109.68
2021/06/22,11510,11510,,110.69
2021/06/23,11666,11666,,111.83
2021/06/24,11703,11703,,112.28
2021/06/25,11770,11770,,113.62
2021/06/28,11722,11722,,113.65
2021/06/29,11849,11849,,115.88
2021/06/30,11895,11895,,117.80
2021/07/01,11935,11935,,119.28
2021/07/02,12001,12001,,121.08
2021/07/05,12085,12085,,124.20
2021/07/06,12054,12054,,124.99
2021/07/07,12058,12058,,125.03
2021/07/08,12089,12089,,128.00
2021/07/09,11946,11946,,127.57
2021/07/12,12057,12057,,129.47
2021/07/13,12124,12124,,130.63
2021/07/14,12150,12150,,132.79
2021/07/15,12090,12090,,132.87
2021/07/16,12002,12002,,132.82
2021/07/19,11907,11907,,132.64
2021/07/20,11766,11766,,131.20
2021/07/21,11956,11956,,133.57
2021/07/26,12329,12329,,138.30
2021/07/27,12308,12308,,138.43
2021/07/28,12128,12128,,138.22
2021/07/29,12163,12163,,139.63
2021/07/30,12161,12161,,139.96
2021/08/02,12107,12107,,140.50
2021/08/03,12074,12074,,140.91
2021/08/04,12123,12123,,144.58
2021/08/05,12207,12207,,146.45
2021/08/06,12313,12313,,149.26
2021/08/10,12328,12328,,150.40
2021/08/11,12299,12299,,150.82
2021/08/12,12243,12243,,151.42
2021/08/13,12304,12304,,152.90
2021/08/16,12236,12236,,152.70
2021/08/17,12209,12209,,153.23
2021/08/18,12133,12133,,154.22
2021/08/19,12066,12066,,153.94
2021/08/20,12117,12117,,155.40
2021/08/23,12240,12240,,156.76
2021/08/24,12410,12410,,159.82
2021/08/25,12457,12457,,161.68
2021/08/26,12489,12489,,162.76
2021/08/27,12408,12408,,162.64
2021/08/30,12504,12504,,165.46
2021/08/31,12661,12661,,168.23
2021/09/01,12677,12677,,169.79
2021/09/02,12679,12679,,171.29
2021/09/03,12667,12667,,174.73
2021/09/06,12693,12693,,176.11
2021/09/07,12687,12687,,177.14
2021/09/08,12763,12763,,178.19
2021/09/09,12713,12713,,181.81
2021/09/10,12613,12613,,181.68
2021/09/13,12537,12537,,184.62
2021/09/14,12540,12540,,186.22
2021/09/15,12454,12454,,186.73
2021/09/16,12524,12524,,188.00
2021/09/17,12580,12580,,189.37
2021/09/21,12144,12144,,183.34
2021/09/22,12119,12119,,184.14
2021/09/24,12486,12486,,192.52
2021/09/27,12534,12534,,195.28
2021/09/28,12465,12465,,197.55
2021/09/29,12175,12175,,194.48
2021/09/30,12190,12190,,196.38
2021/10/01,12085,12085,,196.57
2021/10/04,12121,12121,,198.36
2021/10/05,11852,11852,,197.53
2021/10/06,12095,12095,,202.28
2021/10/07,12147,12147,,203.51
2021/10/08,12289,12289,,206.44
2021/10/11,12289,12289,,207.21
2021/10/12,12330,12330,,209.40
2021/10/13,12286,12286,,209.60
2021/10/14,12369,12369,,211.44
2021/10/15,12656,12656,,216.67
2021/10/18,12778,12778,,219.30
2021/10/19,12900,12900,,224.00
2021/10/20,13046,13046,,229.63
2021/10/21,12982,12982,,229.51
2021/10/22,13039,13039,,235.02
2021/10/25,12890,12890,,232.94
2021/10/26,13036,13036,,236.41
2021/10/27,13107,13107,,239.02
2021/10/28,13111,13111,,241.29
2021/10/29,13239,13239,,245.22
2021/11/01,13349,13349,,248.39
2021/11/02,13397,13397,,244.57
2021/11/04,13602,13602,,253.46
2021/11/05,13729,13729,,256.86
2021/11/08,13723,13723,,267.67
2021/11/09,13660,13660,,269.75
2021/11/10,13514,13514,,274.59
2021/11/11,13450,13450,,276.11
2021/11/12,13523,13523,,278.29
2021/11/15,13635,13635,,282.26
2021/11/16,13652,13652,,285.20
2021/11/17,13832,13832,,293.09
2021/11/18,13750,13750,,288.37
2021/11/19,13919,13919,,295.04
2021/11/22,13964,13964,,305.75
2021/11/24,13873,13873,,306.29
2021/11/25,13938,13938,,314.02
2021/11/26,13890,13890,,317.04
2021/11/29,13462,13462,,307.27
2021/11/30,13776,13776,,317.76
2021/12/01,13494,13494,,315.83
2021/12/02,13246,13246,,314.35
2021/12/03,13355,13355,,324.16
2021/12/06,13120,13120,,321.30
2021/12/07,13281,13281,,327.06
2021/12/08,13690,13690,,339.92
2021/12/09,13779,13779,,346.01
2021/12/10,13531,13531,,343.18
2021/12/13,13694,13694,,348.91
2021/12/14,13499,13499,,345.78
2021/12/15,13373,13373,,345.34
2021/12/16,13738,13738,,356.60
