約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
2022/01/11,2022/01/14,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5618,14240,0,-,-,"8,000",円
2022/01/12,2022/01/17,eMAXIS NASDAQ100インデックス,再投資型,NISA,買付,積立,5929,13494,0,-,-,"8,000",円
2022/02/08,2022/02/14,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5771,13862,0,-,-,"8,000",円
2022/02/09,2022/02/15,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4391,18220,0,-,-,"8,000",円
2022/03/08,2022/03/11,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,6341,12617,0,-,-,"8,000",円
2022/03/09,2022/03/14,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4741,16876,0,-,-,"8,000",円
2022/03/14,2022/03/17,eMAXIS NASDAQ100インデックス,再投資型,NISA,買付,通常,8653,11557,0,-,-,"10,000",円
2022/04/08,2022/04/13,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5819,13749,0,-,-,"8,000",円
2022/04/11,2022/04/14,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4092,19552,0,-,-,"8,000",円
2022/05/09,2022/05/12,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5875,13617,0,-,-,"8,000",円
2022/05/10,2022/05/13,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4407,18154,0,-,-,"8,000",円
2022/05/11,2022/05/12,eMAXIS NASDAQ100インデックス,再投資型,NISA,買付,通常,4357,11476,0,-,-,"5,000",円
2022/06/08,2022/06/13,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5599,14289,0,-,-,"8,000",円
2022/06/09,2022/06/14,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4127,19387,0,-,-,"8,000",円
2022/07/08,2022/07/13,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5835,13710,0,-,-,"8,000",円
2022/07/11,2022/07/14,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4286,18667,0,-,-,"8,000",円
2022/08/08,2022/08/12,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5645,14172,0,-,-,"8,000",円
2022/08/09,2022/08/15,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4081,19603,0,-,-,"8,000",円
2022/09/08,2022/09/13,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5626,14219,0,-,-,"8,000",円
2022/09/09,2022/09/14,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,3950,20255,0,-,-,"8,000",円
2022/10/11,2022/10/14,eMAXIS Slim 国内株式(TOPIX),再投資型,NISA,買付,積立,5825,13734,0,-,-,"8,000",円
2022/10/12,2022/10/17,eMAXIS Slim 米国株式(S&P500),再投資型,NISA,買付,積立,4332,18468,0,-,-,"8,000",円
