約定日,受渡日,ファンド名,分配金,口座,取引,買付方法,数量［口］,単価,経費,為替レート,受付金額[現地通貨],受渡金額/(ポイント利用)[円],決済通貨
"2021/8/2","2021/8/5","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","通常","7,259","13,777","0","-","-","10,000","円"
"2021/8/2","2021/8/6","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","通常","9,799","10,205","0","-","-","10,000","円"
"2021/8/3","2021/8/6","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","通常","8,459","11,822","0","-","-","10,000","円"
"2021/8/3","2021/8/10","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","通常","6,454","15,495","0","-","-","10,000","円"
"2021/8/3","2021/8/6","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","通常","6,013","16,632","0","-","-","10,000","円"
"2021/8/12","2021/8/17","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","通常","8,462","11,818","0","-","-","10,000","円"
"2021/9/7","2021/9/13","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","通常","9,740","10,267","0","-","-","10,000","円"
"2021/9/8","2021/9/13","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","通常","8,486","11,784","0","-","-","10,000","円"
"2021/9/14","2021/9/21","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","通常","6,327","15,806","0","-","-","10,000","円"
"2021/9/14","2021/9/17","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","通常","5,855","17,079","0","-","-","10,000","円"
"2021/10/4","2021/10/8","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","通常","11,286","9,747","0","-","-","11,000(2,373)","円"
"2021/10/8","2021/10/13","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,697","14,043","0","-","-","8,000","円"
"2021/10/8","2021/10/14","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","8,223","9,729","0","-","-","8,000","円"
"2021/10/11","2021/10/14","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","6,837","11,702","0","-","-","8,000","円"
"2021/10/11","2021/10/15","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","5,075","15,765","0","-","-","8,000","円"
"2021/10/11","2021/10/14","eMAXIS Slim 米国株式(S&P500)","再投資型","NISA","買付","積立","4,668","17,140","0","-","-","8,000","円"
"2021/11/11","2021/11/16","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","通常","9,220","11,931","0","-","-","11,000(638)","円"
"2021/12/8","2021/12/13","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,581","14,334","0","-","-","8,000","円"
"2021/12/8","2021/12/14","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","8,118","9,855","0","-","-","8,000","円"
"2021/12/9","2021/12/14","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","6,740","11,869","0","-","-","8,000","円"
"2021/12/9","2021/12/15","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","4,784","16,723","0","-","-","8,000","円"
"2021/12/9","2021/12/14","eMAXIS NASDAQ100インデックス","再投資型","NISA","買付","積立","5,806","13,779","0","-","-","8,000","円"
"2022/1/11","2022/1/14","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,618","14,240","0","-","-","8,000","円"
"2022/1/11","2022/1/17","eMAXIS Slim 国内リートインデックス","再投資型","NISA","買付","積立","8,242","9,706","0","-","-","8,000","円"
"2022/1/12","2022/1/17","eMAXIS Slim 先進国債券インデックス","再投資型","NISA","買付","積立","6,757","11,839","0","-","-","8,000","円"
"2022/1/12","2022/1/18","eMAXIS Slim 全世界株式(除く日本)","再投資型","NISA","買付","積立","4,710","16,986","0","-","-","8,000","円"
"2022/1/12","2022/1/17","eMAXIS NASDAQ100インデックス","再投資型","NISA","買付","積立","5,929","13,494","0","-","-","8,000","円"
"2022/2/8","2022/2/14","eMAXIS Slim 国内株式(TOPIX)","再投資型","NISA","買付","積立","5,771","13,862","0","-","-","8,000","円"
